zone,light_sum,year
espirito_santo,235867.0,2006
acre,31748.0,2006
alagoas,139704.0,2006
rondonia,81706.0,2006
mato_grosso_do_sul,133920.0,2006
distrito_federal,116288.0,2006
rio_grande_do_sul,536626.0,2006
brazil,8301690.0,2006
rio_de_janeiro,602366.0,2006
paraiba,224826.0,2006
minas_gerais,898915.0,2006
amapa,23005.0,2006
santa_catarina,395945.0,2006
piaui,102205.0,2006
goias,286869.0,2006
rio_grande_do_norte,159451.0,2006
roraima,19286.0,2006
parana,507010.0,2006
tocantins,72025.0,2006
maranhao,176697.0,2006
sergipe,111920.0,2006
mato_grosso,179282.0,2006
amazonas,84094.0,2006
sao_paulo,1787693.0,2006
pernambuco,327659.0,2006
para,212977.0,2006
bahia,534812.0,2006
ceara,316855.0,2006
espirito_santo,347953.0,2013
acre,47378.0,2013
alagoas,270353.0,2013
rondonia,122882.0,2013
mato_grosso_do_sul,209489.0,2013
distrito_federal,158599.0,2013
rio_grande_do_sul,832598.0,2013
brazil,12675856.0,2013
rio_de_janeiro,755523.0,2013
paraiba,319054.0,2013
minas_gerais,1322718.0,2013
amapa,34855.0,2013
santa_catarina,658784.0,2013
piaui,160098.0,2013
goias,458410.0,2013
rio_grande_do_norte,230448.0,2013
roraima,29526.0,2013
parana,870387.0,2013
tocantins,122029.0,2013
maranhao,308484.0,2013
sergipe,225945.0,2013
mato_grosso,263449.0,2013
amazonas,118014.0,2013
sao_paulo,2491387.0,2013
pernambuco,521869.0,2013
para,362474.0,2013
bahia,902615.0,2013
ceara,527826.0,2013
espirito_santo,308773.0,2011
acre,43986.0,2011
alagoas,239893.0,2011
rondonia,115594.0,2011
mato_grosso_do_sul,199188.0,2011
distrito_federal,150722.0,2011
rio_grande_do_sul,791758.0,2011
brazil,11549030.0,2011
rio_de_janeiro,708371.0,2011
paraiba,288344.0,2011
minas_gerais,1199244.0,2011
amapa,30137.0,2011
santa_catarina,595787.0,2011
piaui,137591.0,2011
goias,416749.0,2011
rio_grande_do_norte,215780.0,2011
roraima,28285.0,2011
parana,812673.0,2011
tocantins,104997.0,2011
maranhao,259477.0,2011
sergipe,182985.0,2011
mato_grosso,248161.0,2011
amazonas,112222.0,2011
sao_paulo,2355165.0,2011
pernambuco,456362.0,2011
para,309868.0,2011
bahia,751077.0,2011
ceara,483500.0,2011
espirito_santo,217359.0,2004
acre,27970.0,2004
alagoas,154087.0,2004
rondonia,69516.0,2004
mato_grosso_do_sul,121484.0,2004
distrito_federal,106187.0,2004
rio_grande_do_sul,545015.0,2004
brazil,7892169.0,2004
rio_de_janeiro,567989.0,2004
paraiba,205994.0,2004
minas_gerais,823782.0,2004
amapa,23688.0,2004
santa_catarina,368190.0,2004
piaui,95076.0,2004
goias,266788.0,2004
rio_grande_do_norte,150578.0,2004
roraima,22437.0,2004
parana,506402.0,2004
tocantins,65312.0,2004
maranhao,144249.0,2004
sergipe,110316.0,2004
mato_grosso,147832.0,2004
amazonas,90292.0,2004
sao_paulo,1710338.0,2004
pernambuco,341442.0,2004
para,181706.0,2004
bahia,525950.0,2004
ceara,300850.0,2004
espirito_santo,265479.0,2008
acre,32875.0,2008
alagoas,158620.0,2008
rondonia,85057.0,2008
mato_grosso_do_sul,147125.0,2008
distrito_federal,122824.0,2008
rio_grande_do_sul,592292.0,2008
brazil,8967288.0,2008
rio_de_janeiro,608339.0,2008
paraiba,219099.0,2008
minas_gerais,963027.0,2008
amapa,26308.0,2008
santa_catarina,447769.0,2008
piaui,107759.0,2008
goias,309215.0,2008
rio_grande_do_norte,157528.0,2008
roraima,21802.0,2008
parana,596707.0,2008
tocantins,75381.0,2008
maranhao,196107.0,2008
sergipe,125711.0,2008
mato_grosso,196639.0,2008
amazonas,90556.0,2008
sao_paulo,1920516.0,2008
pernambuco,340269.0,2008
para,233365.0,2008
bahia,592112.0,2008
ceara,333055.0,2008
espirito_santo,259519.0,2009
acre,30751.0,2009
alagoas,145399.0,2009
rondonia,82420.0,2009
mato_grosso_do_sul,146148.0,2009
distrito_federal,126101.0,2009
rio_grande_do_sul,573091.0,2009
brazil,8804781.0,2009
rio_de_janeiro,603387.0,2009
paraiba,202273.0,2009
minas_gerais,971577.0,2009
amapa,26238.0,2009
santa_catarina,452102.0,2009
piaui,108996.0,2009
goias,301544.0,2009
rio_grande_do_norte,145021.0,2009
roraima,19967.0,2009
parana,556076.0,2009
tocantins,72507.0,2009
maranhao,185403.0,2009
sergipe,120625.0,2009
mato_grosso,197294.0,2009
amazonas,91009.0,2009
sao_paulo,1919940.0,2009
pernambuco,324686.0,2009
para,222062.0,2009
bahia,593101.0,2009
ceara,325537.0,2009
espirito_santo,266328.0,2007
acre,33615.0,2007
alagoas,155240.0,2007
rondonia,83345.0,2007
mato_grosso_do_sul,137394.0,2007
distrito_federal,124319.0,2007
rio_grande_do_sul,582389.0,2007
brazil,9080090.0,2007
rio_de_janeiro,668689.0,2007
paraiba,225314.0,2007
minas_gerais,1003977.0,2007
amapa,25140.0,2007
santa_catarina,448863.0,2007
piaui,110908.0,2007
goias,330011.0,2007
rio_grande_do_norte,170573.0,2007
roraima,22694.0,2007
parana,591803.0,2007
tocantins,77214.0,2007
maranhao,180366.0,2007
sergipe,115681.0,2007
mato_grosso,181646.0,2007
amazonas,92445.0,2007
sao_paulo,1969990.0,2007
pernambuco,328322.0,2007
para,220807.0,2007
bahia,583068.0,2007
ceara,348247.0,2007
espirito_santo,358248.0,2012
acre,48926.0,2012
alagoas,280558.0,2012
rondonia,136730.0,2012
mato_grosso_do_sul,227717.0,2012
distrito_federal,167251.0,2012
rio_grande_do_sul,878787.0,2012
brazil,13253453.0,2012
rio_de_janeiro,799751.0,2012
paraiba,343702.0,2012
minas_gerais,1399569.0,2012
amapa,35862.0,2012
santa_catarina,695178.0,2012
piaui,162565.0,2012
goias,479412.0,2012
rio_grande_do_norte,256212.0,2012
roraima,33173.0,2012
parana,915808.0,2012
tocantins,133720.0,2012
maranhao,312449.0,2012
sergipe,230431.0,2012
mato_grosso,275572.0,2012
amazonas,130061.0,2012
sao_paulo,2613766.0,2012
pernambuco,536869.0,2012
para,379443.0,2012
bahia,882445.0,2012
ceara,536250.0,2012
espirito_santo,372700.0,2010
acre,50076.0,2010
alagoas,271103.0,2010
rondonia,142421.0,2010
mato_grosso_do_sul,221299.0,2010
distrito_federal,162846.0,2010
rio_grande_do_sul,925189.0,2010
brazil,13409768.0,2010
rio_de_janeiro,813287.0,2010
paraiba,362631.0,2010
minas_gerais,1402501.0,2010
amapa,37898.0,2010
santa_catarina,695691.0,2010
piaui,163076.0,2010
goias,492196.0,2010
rio_grande_do_norte,266494.0,2010
roraima,33848.0,2010
parana,877096.0,2010
tocantins,114946.0,2010
maranhao,289464.0,2010
sergipe,205406.0,2010
mato_grosso,299763.0,2010
amazonas,133044.0,2010
sao_paulo,2663642.0,2010
pernambuco,552368.0,2010
para,346632.0,2010
bahia,917794.0,2010
ceara,593398.0,2010
espirito_santo,193477.0,2005
acre,25375.0,2005
alagoas,127321.0,2005
rondonia,60905.0,2005
mato_grosso_do_sul,111121.0,2005
distrito_federal,101198.0,2005
rio_grande_do_sul,434833.0,2005
brazil,6994753.0,2005
rio_de_janeiro,510145.0,2005
paraiba,179167.0,2005
minas_gerais,731871.0,2005
amapa,20713.0,2005
santa_catarina,337516.0,2005
piaui,85395.0,2005
goias,229935.0,2005
rio_grande_do_norte,133839.0,2005
roraima,17324.0,2005
parana,442987.0,2005
tocantins,57992.0,2005
maranhao,137787.0,2005
sergipe,91867.0,2005
mato_grosso,141671.0,2005
amazonas,94966.0,2005
sao_paulo,1567521.0,2005
pernambuco,279988.0,2005
para,175918.0,2005
bahia,423859.0,2005
ceara,278399.0,2005
